,winloss,championPlayed,kills,deaths,assists,goldEarned,inhibitorKills,turretKills,visionScore,csDiffPerMin,xpDiffPerMin,duration
5949,1,18,9,0,0,12929,1,5,32,"{'10-20': 0.3500000000000001, '0-10': -0.3500000000000001}","{'10-20': 123, '0-10': -1.3000000000000114}",1574
5950,0,72,3,6,4,7910,0,1,28,"{'10-20': 0.2999999999999998, '0-10': -0.8999999999999999}","{'10-20': 35.60000000000002, '0-10': 9.400000000000006}",1505
5951,0,526,2,4,5,6022,0,0,53,"{'10-20': 2.45, '0-10': 1.1500000000000001}","{'10-20': -39.75000000000003, '0-10': 8.700000000000003}",1505
5952,0,11,2,8,2,8410,0,0,12,"{'10-20': 1.2000000000000002, '0-10': 0.7999999999999999}","{'10-20': 49.49999999999997, '0-10': -30.299999999999983}",1505
5953,0,44,1,5,5,6053,0,0,17,"{'10-20': -5.6, '0-10': -6.1}","{'10-20': -269.4, '0-10': -113.19999999999999}",1505
5954,0,15,2,5,3,9225,0,0,21,"{'10-20': 2.45, '0-10': 1.1500000000000001}","{'10-20': -39.75000000000003, '0-10': 8.700000000000003}",1505
5955,1,134,5,2,15,11011,1,0,22,"{'10-20': 5.6, '0-10': 6.1}","{'10-20': 269.4, '0-10': 113.19999999999999}",1505
5956,1,421,10,3,13,11474,0,4,23,"{'10-20': -1.2000000000000002, '0-10': -0.7999999999999999}","{'10-20': -49.49999999999997, '0-10': 30.299999999999983}",1505
5957,1,145,5,2,14,9780,0,1,13,"{'10-20': -2.45, '0-10': -1.1500000000000001}","{'10-20': 39.75000000000003, '0-10': -8.700000000000003}",1505
5958,1,122,8,1,10,12250,0,0,16,"{'10-20': -0.2999999999999998, '0-10': 0.8999999999999999}","{'10-20': -35.60000000000002, '0-10': -9.400000000000006}",1505
5959,1,432,0,2,22,6743,0,1,67,"{'10-20': -2.45, '0-10': -1.1500000000000001}","{'10-20': 39.75000000000003, '0-10': -8.700000000000003}",1505
5960,1,238,15,4,5,14531,0,2,11,{'0-10': 0},{'0-10': 0},1384
5961,1,432,2,4,6,6118,0,0,67,"{'10-20': -1.5499999999999998, '0-10': -0.8499999999999998}","{'10-20': 10.549999999999983, '0-10': -28}",1384
5962,1,60,1,2,9,7732,0,0,19,"{'10-20': 0.19999999999999998, '0-10': -0.3}","{'10-20': 112.30000000000001, '0-10': 7.099999999999994}",1384
5963,1,58,2,2,1,8896,0,2,13,{'0-10': 0},{'0-10': 0},1384
5964,1,145,3,4,4,8272,0,1,13,"{'10-20': -1.5499999999999998, '0-10': -0.8499999999999998}","{'10-20': 10.549999999999983, '0-10': -28}",1384
5965,0,126,3,0,1,9701,0,0,17,{'0-10': 0},{'0-10': 0},1384
5966,0,119,7,4,2,11425,0,1,7,"{'10-20': 1.5499999999999998, '0-10': 0.8499999999999998}","{'10-20': -10.549999999999983, '0-10': 28}",1384
5967,0,79,2,5,9,7697,0,1,43,"{'10-20': 1.5499999999999998, '0-10': 0.8499999999999998}","{'10-20': -10.549999999999983, '0-10': 28}",1384
5968,0,54,0,8,5,6000,0,0,9,{'0-10': 0},{'0-10': 0},1384
5969,0,76,4,6,3,7008,0,0,16,"{'10-20': -0.19999999999999998, '0-10': 0.3}","{'10-20': -112.30000000000001, '0-10': -7.099999999999994}",1384
5970,0,39,4,8,6,15536,0,2,29,{'0-10': 0},{'0-10': 0},2390
5971,0,20,2,7,12,12253,0,1,42,"{'10-20': -3.0500000000000003, '0-10': -3.1500000000000004, '30-end': -4.6, '20-30': -4.6499999999999995}","{'10-20': -119.05000000000001, '0-10': -139.09999999999997, '30-end': -200.70000000000005, '20-30': -94.34999999999997}",2390
5972,0,104,11,7,8,20076,2,2,37,"{'10-20': 3.0999999999999996, '0-10': -0.19999999999999996, '30-end': 1, '20-30': 1.9999999999999998}","{'10-20': 267.40000000000003, '0-10': 150.3, '30-end': 201.20000000000005, '20-30': 155.8}",2390
5973,0,145,6,6,12,16623,0,1,32,{'0-10': 0},{'0-10': 0},2390
5974,0,3,2,8,16,9709,0,0,97,"{'10-20': -3.0500000000000003, '0-10': -3.1500000000000004, '30-end': -4.6, '20-30': -4.6499999999999995}","{'10-20': -119.05000000000001, '0-10': -139.09999999999997, '30-end': -200.70000000000005, '20-30': -94.34999999999997}",2390
5975,1,68,9,4,16,16716,0,1,47,"{'10-20': 3.0500000000000003, '0-10': 3.1500000000000004, '30-end': 4.6, '20-30': 4.6499999999999995}","{'10-20': 119.05000000000001, '0-10': 139.09999999999997, '30-end': 200.70000000000005, '20-30': 94.34999999999997}",2390
5976,1,103,5,4,16,14416,0,1,35,"{'10-20': 3.0500000000000003, '0-10': 3.1500000000000004, '30-end': 4.6, '20-30': 4.6499999999999995}","{'10-20': 119.05000000000001, '0-10': 139.09999999999997, '30-end': 200.70000000000005, '20-30': 94.34999999999997}",2390
5977,1,141,5,8,10,12441,0,0,66,"{'10-20': -3.0999999999999996, '0-10': 0.19999999999999996, '30-end': -1, '20-30': -1.9999999999999998}","{'10-20': -267.40000000000003, '0-10': -150.3, '30-end': -201.20000000000005, '20-30': -155.8}",2390
5978,1,412,0,5,28,9629,0,0,110,{'0-10': 0},{'0-10': 0},2390
5979,1,22,16,4,15,21846,1,3,47,{'0-10': 0},{'0-10': 0},2390
5980,1,18,7,2,3,13726,1,5,38,"{'10-20': -0.20000000000000018, '0-10': 0.15000000000000013, '20-30': -1.0499999999999998}","{'10-20': 80.69999999999999, '0-10': -27.849999999999966, '20-30': -60.55000000000001}",1920
5981,1,203,3,5,8,12360,0,3,50,"{'10-20': 0.29999999999999993, '0-10': 0.09999999999999998, '20-30': -0.3}","{'10-20': 65.49999999999997, '0-10': -39.099999999999994, '20-30': -134.6}",1920
5982,1,150,4,3,7,13155,1,0,33,"{'10-20': 2, '0-10': 1.6999999999999997, '20-30': 1.5999999999999996}","{'10-20': 57.70000000000002, '0-10': 69.10000000000002, '20-30': 30.600000000000023}",1920
